PROJ.4.PROJECTION: "+proj=lcc +lat_2=50.569898649999999 +lat_1=50.569898649999999 +lon_0=4.553615160000000 +units=m +no_defs +a=6371229.0 +es=0.0"

PIXEL_ID LAMBERT_X LAMBERT_Y LAT LON
1 62500 6218014.18 49.51 5.419
2 67500 6218014.18 49.509 5.488
3 72500 6218014.18 49.509 5.558
4 77500 6218014.18 49.508 5.627
5 62500 6223014.18 49.555 5.42
6 67500 6223014.18 49.554 5.489
7 72500 6223014.18 49.554 5.559
8 77500 6223014.18 49.553 5.628
9 82500 6223014.18 49.553 5.697
10 87500 6223014.18 49.552 5.766
11 92500 6223014.18 49.551 5.836
12 52500 6228014.18 49.601 5.282
13 57500 6228014.18 49.6 5.351
14 62500 6228014.18 49.6 5.421
15 67500 6228014.18 49.599 5.49
16 72500 6228014.18 49.599 5.559
17 77500 6228014.18 49.598 5.629
18 82500 6228014.18 49.597 5.698
19 87500 6228014.18 49.597 5.768
20 92500 6228014.18 49.596 5.837
21 97500 6228014.18 49.595 5.906
22 52500 6233014.18 49.646 5.283
23 57500 6233014.18 49.645 5.352
24 62500 6233014.18 49.645 5.422
25 67500 6233014.18 49.644 5.491
26 72500 6233014.18 49.644 5.56
27 77500 6233014.18 49.643 5.63
28 82500 6233014.18 49.642 5.699
29 87500 6233014.18 49.642 5.769
30 92500 6233014.18 49.641 5.838
31 97500 6233014.18 49.64 5.907
32 42500 6238014.18 49.692 5.144
33 47500 6238014.18 49.691 5.214
34 52500 6238014.18 49.691 5.283
35 57500 6238014.18 49.69 5.353
36 62500 6238014.18 49.69 5.422
37 67500 6238014.18 49.689 5.492
38 72500 6238014.18 49.689 5.561
39 77500 6238014.18 49.688 5.631
40 82500 6238014.18 49.687 5.7
41 87500 6238014.18 49.687 5.77
42 92500 6238014.18 49.686 5.839
43 97500 6238014.18 49.685 5.909
44 37500 6243014.18 49.737 5.075
45 42500 6243014.18 49.737 5.145
46 47500 6243014.18 49.736 5.214
47 52500 6243014.18 49.736 5.284
48 57500 6243014.18 49.735 5.354
49 62500 6243014.18 49.735 5.423
50 67500 6243014.18 49.734 5.493
51 72500 6243014.18 49.734 5.562
52 77500 6243014.18 49.733 5.632
53 82500 6243014.18 49.732 5.701
54 87500 6243014.18 49.732 5.771
55 92500 6243014.18 49.731 5.84
56 97500 6243014.18 49.73 5.91
57 22500 6248014.18 49.783 4.867
58 27500 6248014.18 49.782 4.937
59 32500 6248014.18 49.782 5.006
60 37500 6248014.18 49.782 5.076
61 42500 6248014.18 49.782 5.145
62 47500 6248014.18 49.781 5.215
63 52500 6248014.18 49.781 5.285
64 57500 6248014.18 49.78 5.354
65 62500 6248014.18 49.78 5.424
66 67500 6248014.18 49.779 5.494
67 72500 6248014.18 49.779 5.563
68 77500 6248014.18 49.778 5.633
69 82500 6248014.18 49.777 5.702
70 87500 6248014.18 49.777 5.772
71 92500 6248014.18 49.776 5.842
72 22500 6253014.18 49.828 4.867
73 27500 6253014.18 49.827 4.937
74 32500 6253014.18 49.827 5.007
75 37500 6253014.18 49.827 5.076
76 42500 6253014.18 49.826 5.146
77 47500 6253014.18 49.826 5.216
78 52500 6253014.18 49.826 5.285
79 57500 6253014.18 49.825 5.355
80 62500 6253014.18 49.825 5.425
81 67500 6253014.18 49.824 5.494
82 72500 6253014.18 49.824 5.564
83 77500 6253014.18 49.823 5.634
84 82500 6253014.18 49.822 5.704
85 87500 6253014.18 49.822 5.773
86 22500 6258014.18 49.873 4.868
87 27500 6258014.18 49.872 4.937
88 32500 6258014.18 49.872 5.007
89 37500 6258014.18 49.872 5.077
90 42500 6258014.18 49.871 5.147
91 47500 6258014.18 49.871 5.216
92 52500 6258014.18 49.871 5.286
93 57500 6258014.18 49.87 5.356
94 62500 6258014.18 49.87 5.426
95 67500 6258014.18 49.869 5.495
96 72500 6258014.18 49.869 5.565
97 77500 6258014.18 49.868 5.635
98 82500 6258014.18 49.867 5.705
99 87500 6258014.18 49.866 5.774
100 -7500 6263014.18 49.918 4.449
101 22500 6263014.18 49.917 4.868
102 27500 6263014.18 49.917 4.938
103 32500 6263014.18 49.917 5.007
104 37500 6263014.18 49.917 5.077
105 42500 6263014.18 49.916 5.147
106 47500 6263014.18 49.916 5.217
107 52500 6263014.18 49.916 5.287
108 57500 6263014.18 49.915 5.357
109 62500 6263014.18 49.915 5.426
110 67500 6263014.18 49.914 5.496
111 72500 6263014.18 49.913 5.566
112 77500 6263014.18 49.913 5.636
113 82500 6263014.18 49.912 5.706
114 87500 6263014.18 49.911 5.776
115 -27500 6268014.18 49.962 4.169
116 -22500 6268014.18 49.962 4.239
117 -17500 6268014.18 49.963 4.309
118 -12500 6268014.18 49.963 4.379
119 -7500 6268014.18 49.963 4.449
120 -2500 6268014.18 49.963 4.519
121 2500 6268014.18 49.963 4.589
122 17500 6268014.18 49.963 4.798
123 22500 6268014.18 49.962 4.868
124 27500 6268014.18 49.962 4.938
125 32500 6268014.18 49.962 5.008
126 37500 6268014.18 49.962 5.078
127 42500 6268014.18 49.961 5.148
128 47500 6268014.18 49.961 5.218
129 52500 6268014.18 49.961 5.287
130 57500 6268014.18 49.96 5.357
131 62500 6268014.18 49.96 5.427
132 67500 6268014.18 49.959 5.497
133 72500 6268014.18 49.958 5.567
134 77500 6268014.18 49.958 5.637
135 82500 6268014.18 49.957 5.707
136 87500 6268014.18 49.956 5.777
137 92500 6268014.18 49.956 5.847
138 -27500 6273014.18 50.007 4.169
139 -22500 6273014.18 50.007 4.239
140 -17500 6273014.18 50.008 4.309
141 -12500 6273014.18 50.008 4.379
142 -7500 6273014.18 50.008 4.449
143 -2500 6273014.18 50.008 4.519
144 2500 6273014.18 50.008 4.589
145 7500 6273014.18 50.008 4.659
146 17500 6273014.18 50.008 4.798
147 22500 6273014.18 50.007 4.868
148 27500 6273014.18 50.007 4.938
149 32500 6273014.18 50.007 5.008
150 37500 6273014.18 50.007 5.078
151 42500 6273014.18 50.006 5.148
152 47500 6273014.18 50.006 5.218
153 52500 6273014.18 50.006 5.288
154 57500 6273014.18 50.005 5.358
155 62500 6273014.18 50.005 5.428
156 67500 6273014.18 50.004 5.498
157 72500 6273014.18 50.003 5.568
158 77500 6273014.18 50.003 5.638
159 82500 6273014.18 50.002 5.708
160 87500 6273014.18 50.001 5.778
161 92500 6273014.18 50.001 5.848
162 -27500 6278014.18 50.052 4.168
163 -22500 6278014.18 50.052 4.238
164 -17500 6278014.18 50.053 4.309
165 -12500 6278014.18 50.053 4.379
166 -7500 6278014.18 50.053 4.449
167 -2500 6278014.18 50.053 4.519
168 2500 6278014.18 50.053 4.589
169 7500 6278014.18 50.053 4.659
170 12500 6278014.18 50.053 4.729
171 17500 6278014.18 50.053 4.799
172 22500 6278014.18 50.052 4.869
173 27500 6278014.18 50.052 4.939
174 32500 6278014.18 50.052 5.009
175 37500 6278014.18 50.052 5.079
176 42500 6278014.18 50.051 5.149
177 47500 6278014.18 50.051 5.219
178 52500 6278014.18 50.05 5.289
179 57500 6278014.18 50.05 5.359
180 62500 6278014.18 50.049 5.429
181 67500 6278014.18 50.049 5.499
182 72500 6278014.18 50.048 5.569
183 77500 6278014.18 50.048 5.639
184 82500 6278014.18 50.047 5.709
185 87500 6278014.18 50.046 5.779
186 92500 6278014.18 50.046 5.849
187 -27500 6283014.18 50.097 4.168
188 -22500 6283014.18 50.097 4.238
189 -17500 6283014.18 50.098 4.308
190 -12500 6283014.18 50.098 4.378
191 -7500 6283014.18 50.098 4.448
192 -2500 6283014.18 50.098 4.519
193 2500 6283014.18 50.098 4.589
194 7500 6283014.18 50.098 4.659
195 12500 6283014.18 50.098 4.729
196 22500 6283014.18 50.097 4.869
197 27500 6283014.18 50.097 4.939
198 32500 6283014.18 50.097 5.009
199 37500 6283014.18 50.097 5.079
200 42500 6283014.18 50.096 5.149
201 47500 6283014.18 50.096 5.219
202 52500 6283014.18 50.095 5.29
203 57500 6283014.18 50.095 5.36
204 62500 6283014.18 50.094 5.43
205 67500 6283014.18 50.094 5.5
206 72500 6283014.18 50.093 5.57
207 77500 6283014.18 50.093 5.64
208 82500 6283014.18 50.092 5.71
209 87500 6283014.18 50.091 5.78
210 92500 6283014.18 50.091 5.85
211 97500 6283014.18 50.09 5.92
212 -32500 6288014.18 50.142 4.098
213 -27500 6288014.18 50.142 4.168
214 -22500 6288014.18 50.142 4.238
215 -17500 6288014.18 50.142 4.308
216 -12500 6288014.18 50.143 4.378
217 -7500 6288014.18 50.143 4.448
218 -2500 6288014.18 50.143 4.519
219 2500 6288014.18 50.143 4.589
220 7500 6288014.18 50.143 4.659
221 12500 6288014.18 50.143 4.729
222 17500 6288014.18 50.142 4.799
223 22500 6288014.18 50.142 4.869
224 27500 6288014.18 50.142 4.939
225 32500 6288014.18 50.142 5.01
226 37500 6288014.18 50.142 5.08
227 42500 6288014.18 50.141 5.15
228 47500 6288014.18 50.141 5.22
229 52500 6288014.18 50.14 5.29
230 57500 6288014.18 50.14 5.36
231 62500 6288014.18 50.139 5.431
232 67500 6288014.18 50.139 5.501
233 72500 6288014.18 50.138 5.571
234 77500 6288014.18 50.138 5.641
235 82500 6288014.18 50.137 5.711
236 87500 6288014.18 50.136 5.781
237 92500 6288014.18 50.135 5.851
